id,number,name,description,travel_time
57041,201,Дніпро Київ,"28/12/2017, 2,8/01/2018",7:51
163,"79   (""ДНІПРО"")",Дніпро Київ,цілий рік щоденно;  відмінено 31/12/2017,8:34
56947,11  безпересадковий вагон,Дніпро С.петербург,"13,15,17/12/2017",33:33
54265,11  безпересадковий вагон,Дніпро С.петербург,"цілий рік по непарних (крім 13,15,17/12/2017), при двох непарних 27,29,1",33:50
49129,732   (ІНТЕРСІТІ+),Запоріжжя Київ,з 10/12/2017 щоденно;  відмінено 1/01/2018,7:13
51828,736   (ІНТЕРСІТІ+),Запоріжжя Київ,"з 10/12/2017 щоденно, крім вівторків, субот ;  додатково 30/12/2017, 2/01/2018",7:12
426,"76   (""КРИВОРІЖЖЯ"")","Запоріжжя, Кривий Ріг Київ",цілий рік щоденно,13:21
297,84,Київ Маріуполь,цілий рік щоденно,18:49
54850,104,Київ Маріуполь,цілий рік щоденно,17:10
391,179,Київ Дніпро,"23,25,28,29,30,31/12/2017, 2,8,9/01/2018",9:09
36882,732   (ІНТЕРСІТІ+),Київ Запоріжжя,з 10/12/2017 щоденно;  відмінено 1/01/2018,7:10
1818,736   (ІНТЕРСІТІ+),Київ Запоріжжя,"з 10/12/2017 щоденно, крім вівторків, субот;  додатково 30/12/2017, 2/01/2018",7:11
229,"790   (""СТОЛИЧНИЙ ЕКСПРЕС"")",Київ Кропивницький,цілий рік щоденно,4:44
54711,792,Київ Кременчук,цілий рік щоденно,4:59
370,"12   (""СЛАВУТИЧ"")",Київ Новоолексіївка,цілий рік щоденно,12:27
57106,202,Київ Дніпро,12/01/2018,7:11
36880,734   (ІНТЕРСІТІ+),Київ Покровськ,з 10/12/2017 щоденно;  відмінено 31/12/2017,8:09
327,"76   (""КРИВОРІЖЖЯ"")","Київ Кривий Ріг, Запоріжжя",цілий рік щоденно,13:27
57100,203,Київ Новоолексіївка,28/12/2017,13:21
57102,203,Київ Новоолексіївка,30/12/2017,11:59
384,"80   (""ДНІПРО"")",Київ Дніпро,цілий рік щоденно;  відмінено 31/12/2017,7:47
57128,175,Київ Кривий Ріг,30/12/2017,8:49
54710,791,Кременчук Київ,цілий рік щоденно,5:02
57127,176,Кривий Ріг Київ,29/12/2017,9:28
171,"790   (""СТОЛИЧНИЙ ЕКСПРЕС"")",Кропивницький Київ,цілий рік щоденно,5:04
292,84,Маріуполь Київ,цілий рік щоденно,18:48
54851,104,Маріуполь Київ,цілий рік щоденно,17:33
56809,62,Миколаїв Москва,"цілий рік по парних, при двох непарних 28,30,2",28:12
56808,61,Москва Миколаїв,"цілий рік по непарних, при двох непарних 29,31,3",28:01
287,"12   (""СЛАВУТИЧ"")",Новоолексіївка Київ,цілий рік щоденно,13:21
57101,204,Новоолексіївка Київ,29/12/2017,12:45
56956,733   (ІНТЕРСІТІ+),Покровськ Київ,13-17/12/2017 щоденно,8:26
54141,733   (ІНТЕРСІТІ+),Покровськ Київ,"з 10/12/2017 щоденно, крім 13-17/12/2017;  відмінено 1/01/2018",8:09
54455,53  безпересадковий вагон,С.петербург Дніпро,"цілий рік по парних, при двох непарних 28,30,2",35:43
293,375,Харків Херсон,"10/12, з 25/12/2017 щоденно;  відмінено 31/12/2017",18:01
56992,375,Харків Херсон,11-24/12/2017 щоденно,18:04
341,375,Херсон Харків,цілий рік щоденно;  відмінено 1/01/2018,18:08
57043,"205   (""МИКОЛАЇВ"")",Київ Миколаїв,"30,31/12/2017, 8/01/2018",9:48
56962,"121   (""МИКОЛАЇВ"")",Київ Миколаїв,12-16/12/2017 щоденно,9:51
56803,"121   (""МИКОЛАЇВ"")",Київ Миколаїв,"цілий рік щоденно, крім 12-16/12/2017;  відмінено 31/12/2017",9:51
57033,152,Київ Херсон,"23,30/12/2017, 2,8/01/2018",10:15
2472,"766   (ІНТЕРСІТІ""СТОЛИЧНИЙ ЕКСПРЕС"")",Київ Херсон,цілий рік щоденно,7:13
57042,"206   (""МИКОЛАЇВ"")",Миколаїв Київ,"30/12/2017, 1,8/01/2018",9:56
431,"122   (""МИКОЛАЇВ"")",Миколаїв Київ,цілий рік щоденно;  відмінено 31/12/2017,10:23
57034,152,Херсон Київ,"23,30/12/2017, 2,8/01/2018",10:00
2473,"765   (ІНТЕРСІТІ""СТОЛИЧНИЙ ЕКСПРЕС"")",Херсон Київ,цілий рік щоденно,7:15
248,"796   (""ПРОМІНЬ"")",Дніпро Харків,цілий рік щоденно,4:15
54637,106  безпересадковий вагон,Дніпро Москва Кур.,цілий рік щоденно,18:37
56886,826,Дніпро Покровськ,"з 10/12/2017 щоденно, крім середи",3:22
56468,738,Запоріжжя Київ,з 18/12/2017 щоденно;  відмінено 1/01/2018,8:12
56690,38,Київ Запоріжжя,з 17/12/2017 щоденно;   відмінено 31/12/2017,9:19
54636,73  безпересадковий вагон,Москва Кур. Дніпро,цілий рік щоденно,19:15
57105,206,Новоолексіївка Дніпро,31/12/2017,5:16
56909,825,Покровськ Дніпро,"з 10/12/2017 щоденно, крім середи",2:54
278,"795   (""ПРОМІНЬ"")",Харків Дніпро,цілий рік щоденно,4:03
254,"72   (""ЗАПОРІЖЖЯ"")",Запоріжжя Київ,цілий рік щоденно,12:15
56511,102,Київ Херсон,10/12/2017-14/05/2018 щоденно,12:00
54644,740   (ІНТЕРСІТІ),Київ Кривий Ріг,з 10/12/2017 щоденно;  відмінено 31/12/2017,5:32
221,"72   (""ЗАПОРІЖЖЯ"")",Київ Запоріжжя,цілий рік щоденно,12:25
395,74,Кривий Ріг Москва Кур.,цілий рік щоденно,23:19
430,739   (ІНТЕРСІТІ),Кривий Ріг Київ,з 10/12/2017 щоденно;  відмінено 1/01/2018,5:29
226,73,Москва Кур. Кривий Ріг,цілий рік щоденно,23:35
56497,102,Херсон Київ,10/12/2017-15/05/2018 щоденно,11:39
56793,96,Бахмут Маріуполь,"цілий рік по непарних, при двох непарних 29,31,3",17:19
2165,608,Бердянськ Запоріжжя-1,цілий рік щоденно,5:00
57044,822,Запоріжжя Харків,"17,18,19,20/12/2017",5:45
56862,820,Запоріжжя Харків,"цілий рік щоденно, крім вівторка",5:03
