id,name,region
2208393,Яковлівка,
2210930,Чаплине,
2214050,Покровськ,
2200149,Трипілля-Дніпр.,
2210711,Світлодолинськ,
2204561,Пирятин,
2204540,Прилуки,
2100696,Прилуки*,
2204549,Ічня,
2200810,Зернове,
20221,Зернове Кордон,
2204524,Ков'яги,
2204525,Водяна,
2204528,Скороходове,
2204529,Кочубеївка,
2204615,Мала Перещепин.,
2208064,Ганнівка,
2204603,Потоки,
2204597,Крюків На Дніпрі,
2208411,Сахарна,
2208412,Медерове,
2208413,Шарівка,
2208414,Чабанівка,
2208744,Тимкове,
2208523,Березнегувате,
2208539,Копані,
2208543,Великі Копані,
2210311,Варварівка,
2204473,Краснопавлівка,
2204472,Лихачове,
2014370,Бєлгород,
2000150,Курськ,
2000001,Москва Курська,
2001250,Москва-Тов-Курська,
2000140,Орел,
2204489,Орілька,
2000880,Тула 1 Курская,
2214013,Межова,
2200291,Кагарлик,
2210900,Кривий Ріг-Гол.,
2210834,Кривий Ріг-Зах.,
2210794,Кривий Ріг-Сорт.,
2210680,Кривий Ріг-Червона, 
2214180,Бахмут,
2214151,Бахмутівка,
2218912,Сіль,
2214068,Сіверськ,
2200792,Новгород-Сіверський,
2204420,Ізюм,
2204467,Балаклія,
2204465,Зміїв,
2000228,Зміївка,
2210690,Бердянськ,
2210829,Берда,
2064906,Берданосовка,
2900696,Бердах,
2210795,Трояни,
2210875,Єлізаветівка,
2210699,Нельгівка,
2210702,Синя Гора,
2210703,Кирилівка,
2210850,Пологи,
2210832,Оріхівська,
2210683,Вільнянськ,
2200290,Мена,
2200274,Сновськ,
2200272,Городня,Чернігівська область
2208140,Городня,
2100685,Городнянский,
2200244,Хоробичі,
21223,Хоробичі Кордон,
2100212,Терехівка,
2200311,Караваєві Дачі,
2214038,Донецьк-Північн,
2100408,Жлобин Північний,
2208013,Котовськ-Північний,
2214187,Луганськ-Північний,
2001220,Любліно-Північне,
2204675,Пост Північний Сорт,
2200009,Видубичі,
2200360,Видубичі-Трипільські,
2200053,Бровари,
2201235,Бобрик,
2000260,Бобрик Донской,
2200051,Бобровиця,
2200049,Носівка,
2201224,Приостерний,
2200036,Крути,
2204684,Крутий Берег,
